DATE,CMRMTSPL,% chg
01-10-2007,1326662,-0.53120065
01-11-2007,1323441,0.242789799
01-12-2007,1312662,0.81446774
01-01-2008,1319262,-0.502795084
01-02-2008,1306654,0.95568583
01-03-2008,1289336,1.325369991
01-04-2008,1302474,-1.018974108
01-05-2008,1293471,0.691223011
01-06-2008,1291741,0.13374865
01-07-2008,1269465,1.724494307
01-08-2008,1260142,0.734403863
01-09-2008,1229147,2.459643437
01-10-2008,1217693,0.931865757
01-11-2008,1184469,2.72843812
01-12-2008,1178034,0.54328142
01-01-2009,1153058,2.120142543
01-02-2009,1160215,-0.620697311
01-03-2009,1136275,2.063410661
01-04-2009,1127427,0.778684737
01-05-2009,1127913,-0.043107004
01-06-2009,1126129,0.158168228
01-07-2009,1142764,-1.47718423
01-08-2009,1143418,-0.057229664
01-09-2009,1144772,-0.118416887
01-10-2009,1150407,-0.492237756
01-11-2009,1159044,-0.750777768
01-12-2009,1162939,-0.336052816
01-01-2010,1159614,0.285913535
01-02-2010,1167271,-0.660305929
01-03-2010,1182072,-1.268000319
01-04-2010,1192644,-0.894361765
01-05-2010,1188910,0.313085883
01-06-2010,1200366,-0.963571675
01-07-2010,1210538,-0.847408207
01-08-2010,1211152,-0.05072125
01-09-2010,1210964,0.015522412
01-10-2010,1217216,-0.516282895
01-11-2010,1220690,-0.285405384
01-12-2010,1222861,-0.177850232
01-01-2011,1237849,-1.22565034
01-02-2011,1220120,1.432242543
01-03-2011,1234097,-1.145543061
01-04-2011,1229594,0.364882177
01-05-2011,1219944,0.784811897
01-06-2011,1232271,-1.010456218
01-07-2011,1237862,-0.453715132
01-08-2011,1247048,-0.742085951
01-09-2011,1238946,0.649694318
01-10-2011,1254588,-1.262524759
01-11-2011,1250048,0.361871786
01-12-2011,1261003,-0.876366348
01-01-2012,1268460,-0.59135466
01-02-2012,1273029,-0.360200558
01-03-2012,1271849,0.092692311
01-04-2012,1275997,-0.326139345
01-05-2012,1279867,-0.303292249
01-06-2012,1276299,0.278778967
01-07-2012,1278728,-0.190315906
01-08-2012,1277591,0.088916486
01-09-2012,1279516,-0.150674199
01-10-2012,1274571,0.386474261
01-11-2012,1298060,-1.84289459
01-12-2012,1302868,-0.370398903
01-01-2013,1307206,-0.332957752
01-02-2013,1312035,-0.369413849
01-03-2013,1304969,0.538552706
01-04-2013,1303671,0.099465964
01-05-2013,1317695,-1.07573153
01-06-2013,1314033,0.277909531
01-07-2013,1314276,-0.018492686
01-08-2013,1319628,-0.407220401
01-09-2013,1323701,-0.308647589
01-10-2013,1331422,-0.583288824
01-11-2013,1347662,-1.219748509
01-12-2013,1342339,0.394980344
01-01-2014,1328414,1.037368355
01-02-2014,1339979,-0.870587031
01-03-2014,1350652,-0.79650502
01-04-2014,1352609,-0.144892985
01-05-2014,1356343,-0.276059083
01-06-2014,1355815,0.038928206
01-07-2014,1364444,-0.636443763
01-08-2014,1366998,-0.187182471
01-09-2014,1366811,0.01367961
01-10-2014,1368570,-0.128693726
01-11-2014,1372234,-0.267724705
01-12-2014,1380177,-0.578837137
01-01-2015,1382524,-0.170050653
01-02-2015,1376941,0.403826624
01-03-2015,1384614,-0.55724973
01-04-2015,1395091,-0.756672979
01-05-2015,1381123,1.00122501
01-06-2015,1383784,-0.192669299
01-07-2015,1386840,-0.220843715
01-08-2015,1388664,-0.131522021
01-09-2015,1403145,-1.04280085
01-10-2015,1399866,0.233689319
01-11-2015,1396940,0.209020006
01-12-2015,1394894,0.146462983
01-01-2016,1395837,-0.067603703
01-02-2016,1407109,-0.807544147
01-03-2016,1407621,-0.036386662
01-04-2016,1405968,0.117432178
01-05-2016,1398587,0.524976386
01-06-2016,1406826,-0.589094565
01-07-2016,1405222,0.114015521
01-08-2016,1416348,-0.791761017
01-09-2016,1417950,-0.113107796
01-10-2016,1420099,-0.151556825
01-11-2016,1420567,-0.032955449
01-12-2016,1437758,-1.210150595
01-01-2017,1441368,-0.25108537
01-02-2017,1439259,0.14631933
01-03-2017,1435889,0.234148267
01-04-2017,1430985,0.341530578
01-05-2017,1436722,-0.400912658
01-06-2017,1441372,-0.323653428
01-07-2017,1447234,-0.406695843
01-08-2017,1455350,-0.560793901
01-09-2017,1462620,-0.499536194
01-10-2017,1470547,-0.541972624
01-11-2017,1481745,-0.761485352
01-12-2017,1492183,-0.704439698
01-01-2018,1472617,1.311233274
01-02-2018,1479553,-0.47099823
01-03-2018,1476040,0.237436577
01-04-2018,1475240,0.054199073
01-05-2018,1485326,-0.683685366
01-06-2018,1480149,0.348543013
01-07-2018,1484336,-0.282876927
01-08-2018,1490918,-0.443430598
01-09-2018,1490712,0.013816991
01-10-2018,1487127,0.240489109
01-11-2018,1490145,-0.202941645
01-12-2018,1489463,0.045767358
01-01-2019,1494210,-0.318705466
01-02-2019,1496260,-0.137196244
01-03-2019,1493353,0.194284416
01-04-2019,1478340,1.005321582
01-05-2019,1485481,-0.48304179
01-06-2019,1493211,-0.52037017
01-07-2019,1494399,-0.079560089
01-08-2019,1500336,-0.397283456
01-09-2019,1496673,0.244145311
01-10-2019,1483091,0.907479456
01-11-2019,1489085,-0.404155915
01-12-2019,1485467,0.242967997
01-01-2020,1478709,0.454941106
01-02-2020,1488825,-0.684110261
01-03-2020,1428936,4.022568133
01-04-2020,1256135,12.09298387
01-05-2020,1357116,-8.039024468
01-06-2020,1465484,-7.985168549
01-07-2020,1504500,-2.662328623
01-08-2020,1509447,-0.328813559
01-09-2020,1518387,-0.592269884
01-10-2020,1526985,-0.5662588
01-11-2020,1523747,0.212051854
01-12-2020,1529685,-0.38969724
01-01-2021,1567734,-2.487374852
01-02-2021,1523644,2.812339338
01-03-2021,1579651,-3.675858665
01-04-2021,1571789,0.497704873
01-05-2021,1545700,1.659828387
01-06-2021,1550862,-0.333958724
01-07-2021,1556129,-0.33961758
01-08-2021,1550314,0.373683673
01-09-2021,1557826,-0.484547001
01-10-2021,1561812,-0.255869397
01-11-2021,1564342,-0.161991328
01-12-2021,1557340,0.447600333
01-01-2022,1585920,-1.8351805
01-02-2022,1572587,0.840710755
01-03-2022,1554031,1.179966514
01-04-2022,1551827,0.141824713
01-05-2022,1541414,0.671015519
01-06-2022,1536205,0.337936466
01-07-2022,1545055,-0.576094987
01-08-2022,1570466,-1.644666371
